current_A,voltage_V,sigma_voltage_V
2.082811649211581631e-06,5.076505937572347582e-01,1.500000000000000031e-03
2.468299048284189382e-06,5.168720374959717700e-01,1.500000000000000031e-03
2.925132569748625973e-06,5.193991758626623767e-01,1.500000000000000031e-03
3.466516975142080069e-06,5.314887488286734740e-01,1.500000000000000031e-03
4.108100967191673722e-06,5.394030206237380165e-01,1.500000000000000031e-03
4.868429515176250053e-06,5.441319710293001100e-01,1.500000000000000031e-03
5.769479896800538790e-06,5.499734101367099726e-01,1.500000000000000031e-03
6.837296950858798983e-06,5.547662523031513526e-01,1.500000000000000031e-03
8.102745902650158148e-06,5.642839384814578585e-01,1.500000000000000031e-03
9.602404522545623740e-06,5.691595691442019600e-01,1.500000000000000031e-03
1.137962040552781807e-05,5.768239175427219978e-01,1.500000000000000031e-03
1.348576393234216631e-05,5.834551760097411721e-01,1.500000000000000031e-03
1.598171312907039130e-05,5.913529526738958708e-01,1.500000000000000031e-03
1.893961334495498732e-05,5.998980167788591222e-01,1.500000000000000031e-03
2.244496261191882263e-05,6.041739544619544322e-01,1.500000000000000031e-03
2.659908296304403823e-05,6.105738995294710536e-01,1.500000000000000031e-03
3.152204914340975386e-05,6.175960898620903583e-01,1.500000000000000031e-03
3.735615936760205448e-05,6.247011842081955368e-01,1.500000000000000031e-03
4.427004844605511162e-05,6.310654204469617889e-01,1.500000000000000031e-03
5.246356217003876707e-05,6.389075469271788821e-01,1.500000000000000031e-03
6.217353384926756980e-05,6.492893020989594088e-01,1.500000000000000031e-03
7.368062997280773788e-05,6.535408771709511067e-01,1.500000000000000031e-03
8.731746286693946985e-05,6.619085969053825069e-01,1.500000000000000031e-03
1.034782048461467194e-04,6.668023044470137162e-01,1.500000000000000031e-03
1.226299817540314177e-04,6.760017865337770715e-01,1.500000000000000031e-03
1.453263752241645216e-04,6.802735269392193862e-01,1.500000000000000031e-03
1.722234239433894211e-04,6.889949570723968852e-01,1.500000000000000031e-03
2.040985864336933775e-04,7.006081817541883749e-01,1.500000000000000031e-03
2.418732134713818269e-04,7.035646986532271274e-01,1.500000000000000031e-03
2.866391797082765169e-04,7.133668543394028339e-01,1.500000000000000031e-03
3.396904442812761788e-04,7.196586340540124249e-01,1.500000000000000031e-03
4.025604526689167766e-04,7.260848310597782795e-01,1.500000000000000031e-03
4.770664608946602217e-04,7.327325863818333618e-01,1.500000000000000031e-03
5.653620632669019430e-04,7.431064955953803342e-01,1.500000000000000031e-03
6.699994419687059976e-04,7.484571500954206869e-01,1.500000000000000031e-03
7.940031378201200564e-04,7.586582873922901316e-01,1.500000000000000031e-03
9.409574745550950596e-04,7.630472107397241466e-01,1.500000000000000031e-03
1.115110163609565235e-03,7.721065081499394189e-01,1.500000000000000031e-03
1.321495084114501393e-03,7.807745799111496243e-01,1.500000000000000031e-03
1.566077787046554586e-03,7.888828919538003470e-01,1.500000000000000031e-03
1.855927929330176236e-03,7.949456071041710592e-01,1.500000000000000031e-03
2.199423622094578805e-03,8.045416007098122879e-01,1.500000000000000031e-03
2.606493599766844787e-03,8.143029813549350626e-01,1.500000000000000031e-03
3.088904209892758511e-03,8.227523627443606991e-01,1.500000000000000031e-03
3.660599519118985703e-03,8.349312829044022166e-01,1.500000000000000031e-03
4.338104366091478058e-03,8.452087552378527713e-01,1.500000000000000031e-03
5.141002011504180839e-03,8.524294950042368146e-01,1.500000000000000031e-03
6.092500191760647985e-03,8.644386384748282692e-01,1.500000000000000031e-03
7.220101938015619641e-03,8.778860903946975602e-01,1.500000000000000031e-03
8.556400550604201585e-03,8.936897246666599681e-01,1.500000000000000031e-03
1.014002170757458653e-02,9.115056069513178816e-01,1.500000000000000031e-03
1.201673993894819548e-02,9.242898116385722673e-01,1.500000000000000031e-03
1.424080173836753289e-02,9.433835381383367524e-01,1.500000000000000031e-03
1.687649355664116307e-02,9.616152608504818788e-01,1.500000000000000031e-03
2.000000000000000042e-02,9.842811133044593319e-01,1.500000000000000031e-03
